5421b10,Thomas Wachmer,2 months ago,Add unannotated wireframes to /images/ subfolder
1fc30f8,Thomas Wachmer,2 months ago,Add Annotated Wireframes into /images/ subfolder
ad4e192,putl0014,2 months ago,Scope statement update
d9507f8,putl0014,3 months ago,Scope Statement version 0.1
b89a9fe,putl0014,3 months ago,Update pr-roster.md
e076855,putl0014,3 months ago,Update Project-Proposal.md
fe171fc,Lachlan Klenk,3 months ago,Merge pull request #8 from putl0014/User-Personas
13c538a,Lachlan Klenk,3 months ago,Update Diego Martinez Persona.png
d09f7db,Lachlan Klenk,3 months ago,Update persona-drafts.md
07efdcb,Lachlan Klenk,3 months ago,Merge pull request #7 from putl0014/Research-Methods
8e120c7,Lachlan Klenk,3 months ago,Created Diego Martinez Persona
a3ae652,Lachlan Klenk,3 months ago,Created Athena Werner Persona
edb9995,Lachlan Klenk,3 months ago,Added Matthew Jacob Persona
72b5257,putl0014,3 months ago,Update pr-roster.md
edc8ea9,putl0014,3 months ago,Update Project-Proposal.md
5191de6,Jayden Putland,3 months ago,Merge pull request #5 from putl0014/Research-Methods
bc6b5ac,Jayden Putland,3 months ago,Merge branch 'main' into Research-Methods
7589573,Lachlan Klenk,3 months ago,Update pr-roster.md
6d741fe,Lachlan Klenk,3 months ago,Update pr-roster.md
cfe7445,Lachlan Klenk,3 months ago,Create research-methods.md
2bae99d,putl0014,3 months ago,Pushing to main the draft files for the three sections of the Report.
a1286c2,Lachlan Klenk,3 months ago,Merge pull request #4 from putl0014/Jaydens-test
d7d568e,putl0014,3 months ago,Update pr-roster.md
159fb44,putl0014,3 months ago,Update persona-drafts.md
8f03e3e,putl0014,3 months ago,Updating the PR roster and persona draft
5f27865,putl0014,3 months ago,Update persona-drafts.md
319decb,Lachlan Klenk,3 months ago,Merge pull request #3 from putl0014/Persona-klen0010
d3913ed,Lachlan Klenk,3 months ago,Update persona-drafts.md
0f5ea80,wach0035,3 months ago,Merge pull request #2 from putl0014:docs/WACH0035/create-persona
9e9d37e,Thomas Wachmer,3 months ago,Merge remote-tracking branch 'origin/main' into docs/WACH0035/create-persona
959e2ad,Thomas Wachmer,3 months ago,Adding name to persona file # Description
e035c7f,Lachlan Klenk,3 months ago,Update persona-drafts.md
01ab3ae,Jayden Putland,3 months ago,Merge pull request #1 from putl0014/Jaydens-test
afb1f14,putl0014,3 months ago,Create test doc.md
810eb4c,main0074,3 months ago,Update persona-drafts.md
57e9a31,Lachlan Klenk,3 months ago,added FAN
1cecf23,putl0014,3 months ago,Adding details to the drafts file
b5c6b55,putl0014,3 months ago,Adding persona drafts
162046b,putl0014,3 months ago,Assignment folder setup
80c9aae,putl0014,3 months ago,Initial commit
